ispb,nome,nome_reduzido,modalidade_participacao,tipo_participacao,inicio_operacao,data_carga
80959612,CC ALTO VALE DO ITAJAÍ,CC ALTO VALE DO ITAJAÍ,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
00068987,CC ARACREDI LTDA.,CC ARACREDI LTDA.,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
03047549,CC CAP UNICIDADES,CC CAP UNICIDADES,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
41753500,CC CARLOS CHAGAS,CC CARLOS CHAGAS,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
09403026,CC CENTRO LESTE NORTE MARANHENSE - SICOOB CENTROLESTE,CC CENTRO LESTE NORTE MARANHENSE - SICOOB CENTROLESTE,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
71238232,CC CENTRO SUL MINEIRO,CC CENTRO SUL MINEIRO,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
54401286,CC COCRE,CC COCRE,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
02217068,"CC CONTADORES, ADMINISTRADORES, ECONOMISTAS E CORRET SEGUROS","CC CONTADORES, ADMINISTRADORES, ECONOMISTAS E CORRET SEGUROS",Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
65229254,CC COOPACREDI,CC COOPACREDI,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
53623781,CC COOPCRED,CC COOPCRED,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
49389307,CC COOPLIVRE,CC COOPLIVRE,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
18966739,CC COPERSUL LTDA,CC COPERSUL LTDA,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
19449602,CC CREDCOOPER LTDA,CC CREDCOOPER LTDA,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
00429890,CC CREDIAGRO,CC CREDIAGRO,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
25353939,CC CREDIALP,CC CREDIALP,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
66398496,CC CREDIARA LTDA.,CC CREDIARA LTDA.,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
66259110,CC CREDIBAM LTDA.,CC CREDIBAM LTDA.,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
71237184,CC CREDIBELO LTDA. - SICOOB CREDIBELO,CC CREDIBELO LTDA. - SICOOB CREDIBELO,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
21670187,CC CREDIBOM,CC CREDIBOM,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
25395435,CC CREDICAF LTDA,CC CREDICAF LTDA,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
01609345,CC CREDICAMPINA,CC CREDICAMPINA,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
21661202,CC CREDICAMPO LTDA,CC CREDICAMPO LTDA,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
23949522,CC CREDICARPA,CC CREDICARPA,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
00966246,CC CREDICERIPA,CC CREDICERIPA,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
54037916,CC CREDICITRUS,CC CREDICITRUS,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
67096909,CC CREDICOCAPEC,CC CREDICOCAPEC,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
38588174,CC CREDICOPE,CC CREDICOPE,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
68512748,CC CREDIESMERALDAS LTDA.,CC CREDIESMERALDAS LTDA.,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
07469260,CC CREDIFIEMG,CC CREDIFIEMG,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
41931445,CC CREDIFOR LTDA,CC CREDIFOR LTDA,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
67960229,CC CREDIGUAÇU,CC CREDIGUAÇU,Provedor de Conta Transacional,Indireta,,2026-05-11 16:41:39.298146
